Subjects,Triples,Kafka_in,Kafka_out,End_time
2,4,1707158975262,1707158975264.3027,1707158975270.4548
5,10,1707158985368,1707158985370.1558,1707158985382.388
10,20,1707158995457,1707158995459.0242,1707158995483.7197
50,100,1707159005559,1707159005562.3088,1707159005656.8906
100,200,1707159015646,1707159015650.4392,1707159015858.2056
200,400,1707159025761,1707159025768.2686,1707159026419.91
500,1000,1707159035853,1707159035868.8132,1707159037069.4038
1,2,1707159045977,1707159045979.5693,1707159045983.9602
2,4,1707159056086,1707159056087.5417,1707159056093.7004
5,10,1707159066188,1707159066190.0037,1707159066202.0662
10,20,1707159076270,1707159076271.699,1707159076293.8757
50,100,1707159086373,1707159086375.9116,1707159086466.4001
100,200,1707159096468,1707159096472.4612,1707159096655.6487
200,400,1707159106553,1707159106559.8506,1707159107192.6064
500,1000,1707159116641,1707159116654.6821,1707159118054.568
1,2,1707159126753,1707159126755.262,1707159126762.193
2,4,1707159136867,1707159136869.1938,1707159136877.8333
5,10,1707159146970,1707159146971.619,1707159146983.531
10,20,1707159157039,1707159157040.8682,1707159157064.1887
50,100,1707159167148,1707159167150.7483,1707159167244.5383
100,200,1707159177249,1707159177252.8008,1707159177437.858
200,400,1707159187369,1707159187375.0786,1707159187778.7664
500,1000,1707159197453,1707159197466.564,1707159198657.7139
1,2,1707159207564,1707159207565.4402,1707159207571.579
2,4,1707159217660,1707159217661.9678,1707159217668.1726
5,10,1707159227767,1707159227768.7844,1707159227781.4238
10,20,1707159237866,1707159237867.9355,1707159237891.1318
50,100,1707159248003,1707159248007.5398,1707159248114.9443
100,200,1707159258115,1707159258119.7385,1707159258318.7632
200,400,1707159268215,1707159268222.0994,1707159268888.6921
500,1000,1707159278309,1707159278322.6199,1707159279514.704
1,2,1707159288429,1707159288431.3145,1707159288435.6755
2,4,1707159298528,1707159298529.848,1707159298536.1702
5,10,1707159308625,1707159308626.6562,1707159308638.5889
10,20,1707159318726,1707159318727.567,1707159318747.3914
50,100,1707159328824,1707159328827.2231,1707159328917.0684
100,200,1707159338937,1707159338941.3198,1707159339119.6133
200,400,1707159349014,1707159349020.4446,1707159349418.8118
500,1000,1707159359132,1707159359145.8142,1707159360590.2422
1,2,1707159369249,1707159369251.1865,1707159369258.763
2,4,1707159379391,1707159379397.856,1707159379430.9746
5,10,1707159389499,1707159389500.763,1707159389515.9683
10,20,1707159399583,1707159399585.4636,1707159399620.1282
50,100,1707159409690,1707159409693.378,1707159409791.806
100,200,1707159419780,1707159419786.37,1707159420018.1357
200,400,1707159429892,1707159429898.2217,1707159430334.8806
500,1000,1707159440009,1707159440022.9473,1707159441239.7163
1,2,1707159450113,1707159450114.8918,1707159450119.1165
2,4,1707159460227,1707159460230.0308,1707159460240.6763
5,10,1707159470305,1707159470307.2344,1707159470320.386
10,20,1707159480399,1707159480401.7522,1707159480427.1724
50,100,1707159490481,1707159490484.899,1707159490622.2239
100,200,1707159500565,1707159500569.0073,1707159500842.3018
200,400,1707159510651,1707159510657.5032,1707159511583.1257
500,1000,1707159520765,1707159520781.2314,1707159522621.5723
1,2,1707159530868,1707159530871.0166,1707159530878.8247
2,4,1707159540951,1707159540953.013,1707159540960.653
5,10,1707159551028,1707159551030.357,1707159551046.4382
10,20,1707159561126,1707159561128.8691,1707159561174.0183
50,100,1707159571208,1707159571211.5444,1707159571348.395
100,200,1707159581296,1707159581300.9849,1707159581643.8726
200,400,1707159591373,1707159591380.1323,1707159591963.6729
500,1000,1707159601472,1707159601486.6638,1707159603281.4553
1,2,1707159611565,1707159611568.2368,1707159611577.6462
2,4,1707159621641,1707159621642.8572,1707159621651.6104
5,10,1707159631716,1707159631718.108,1707159631732.132
10,20,1707159641790,1707159641791.4514,1707159641822.8674
50,100,1707159651875,1707159651877.9106,1707159652061.2617
100,200,1707159661951,1707159661955.0522,1707159662236.891
200,400,1707159672019,1707159672026.262,1707159672613.1943
500,1000,1707159682098,1707159682111.3625,1707159683678.1265
1,2,1707159692168,1707159692170.0315,1707159692175.182
2,4,1707159702234,1707159702236.1746,1707159702243.9102
5,10,1707159712337,1707159712338.5757,1707159712351.23
10,20,1707159722445,1707159722446.7258,1707159722469.953
50,100,1707159732551,1707159732554.4712,1707159732653.3113
100,200,1707159742658,1707159742661.9265,1707159742860.7817
200,400,1707159752737,1707159752743.9114,1707159753531.602
500,1000,1707159762831,1707159762844.5962,1707159764091.8003
1,2,1707159772942,1707159772943.7266,1707159772948.327
2,4,1707159783046,1707159783048.07,1707159783054.6526
5,10,1707159793157,1707159793159.1997,1707159793175.5618
10,20,1707159803259,1707159803261.1396,1707159803284.7021
50,100,1707159813340,1707159813344.4697,1707159813462.021
100,200,1707159823446,1707159823450.5662,1707159823674.2817
200,400,1707159833550,1707159833556.5183,1707159834034.29
500,1000,1707159843663,1707159843676.3652,1707159845466.9673
1,2,1707159853775,1707159853777.2532,1707159853785.549
2,4,1707159863883,1707159863884.58,1707159863891.7014
5,10,1707159873980,1707159873982.0784,1707159873995.409
10,20,1707159884101,1707159884107.2444,1707159884144.507
50,100,1707159894208,1707159894212.062,1707159894349.6975
100,200,1707159904319,1707159904323.853,1707159904571.2332
200,400,1707159914433,1707159914439.9153,1707159915000.5432
500,1000,1707159924561,1707159924575.5896,1707159925977.1904
1,2,1707159934667,1707159934669.8582,1707159934674.6057
2,4,1707159944772,1707159944774.1853,1707159944782.7356
5,10,1707159954866,1707159954868.651,1707159954892.1763
10,20,1707159964981,1707159964983.6753,1707159965013.0334
50,100,1707159975048,1707159975051.454,1707159975188.364
100,200,1707159985144,1707159985148.1052,1707159985414.866
200,400,1707159995256,1707159995262.2625,1707159996407.0354
500,1000,1707160005380,1707160005414.4167,1707160006901.5083
1,2,1707160015592,1707160015598.892,1707160015618.4692
2,4,1707160025728,1707160025735.8691,1707160025786.6858
5,10,1707160035875,1707160035878.9268,1707160035927.1992
10,20,1707160045978,1707160045982.7373,1707160046072.4946
50,100,1707160056067,1707160056071.2817,1707160056245.2944
100,200,1707160066233,1707160066245.0679,1707160066755.5574
200,400,1707160076342,1707160076349.277,1707160076954.4365
500,1000,1707160086477,1707160086512.3447,1707160088803.5293
1,2,1707160096583,1707160096586.066,1707160096598.288
2,4,1707160106695,1707160106698.5032,1707160106712.07
5,10,1707160116798,1707160116801.4607,1707160116823.2327
10,20,1707160126928,1707160126932.2083,1707160126966.7556
50,100,1707160137050,1707160137058.939,1707160137212.4111
100,200,1707160147169,1707160147178.2646,1707160147533.2703
200,400,1707160157263,1707160157272.7837,1707160158081.2646
500,1000,1707160167382,1707160167397.4802,1707160169537.3044
1,2,1707160177507,1707160177509.3882,1707160177514.4917
2,4,1707160187624,1707160187630.9114,1707160187653.9446
5,10,1707160197736,1707160197739.5232,1707160197760.468
10,20,1707160207850,1707160207854.5176,1707160207893.4387
50,100,1707160217946,1707160217950.9075,1707160218137.1794
100,200,1707160228039,1707160228048.3745,1707160228326.832
200,400,1707160238151,1707160238158.0437,1707160238616.9646
500,1000,1707160248264,1707160248279.6973,1707160249937.329
1,2,1707160258388,1707160258391.072,1707160258398.9236
2,4,1707160268485,1707160268486.8333,1707160268493.1292
5,10,1707160278597,1707160278599.6812,1707160278612.7476
10,20,1707160288698,1707160288703.6528,1707160288746.878
50,100,1707160298817,1707160298821.2476,1707160298978.197
100,200,1707160308921,1707160308926.6116,1707160309148.0251
200,400,1707160319039,1707160319045.245,1707160319492.6885
500,1000,1707160329125,1707160329141.0122,1707160330417.7207
1,2,1707160339236,1707160339239.2598,1707160339305.2974
2,4,1707160349350,1707160349354.1653,1707160349378.7297
5,10,1707160359468,1707160359470.2778,1707160359484.8135
10,20,1707160369558,1707160369559.7505,1707160369589.6653
50,100,1707160379662,1707160379665.038,1707160379774.0698
100,200,1707160389739,1707160389743.9175,1707160390024.0132
200,400,1707160399831,1707160399839.3223,1707160400383.2888
500,1000,1707160409944,1707160409961.7532,1707160411240.8499
1,2,1707160420071,1707160420073.3804,1707160420077.2869
2,4,1707160430176,1707160430178.1262,1707160430184.8792
5,10,1707160440278,1707160440280.0925,1707160440293.4512
10,20,1707160450388,1707160450390.319,1707160450415.0166
50,100,1707160460479,1707160460482.6743,1707160460642.053
100,200,1707160470633,1707160470642.1233,1707160471102.7595
200,400,1707160480761,1707160480770.8372,1707160481325.1304
500,1000,1707160490907,1707160490922.0173,1707160493561.6824
1,2,1707160501036,1707160501039.3667,1707160501045.983
2,4,1707160511148,1707160511154.5574,1707160511178.0461
5,10,1707160521246,1707160521248.7798,1707160521267.6953
10,20,1707160531368,1707160531370.941,1707160531401.016
50,100,1707160541484,1707160541487.9822,1707160541663.078
100,200,1707160551562,1707160551567.4712,1707160551995.7815
200,400,1707160561672,1707160561679.8486,1707160562246.316
500,1000,1707160571813,1707160571829.142,1707160573693.6135
1,2,1707160581946,1707160581948.1487,1707160581952.9849
2,4,1707160592012,1707160592013.8662,1707160592020.5867
5,10,1707160602061,1707160602062.5403,1707160602076.7515
10,20,1707160612133,1707160612136.887,1707160612165.7703
50,100,1707160622189,1707160622192.0032,1707160622303.6028
100,200,1707160632275,1707160632280.407,1707160633035.1455
200,400,1707160642403,1707160642410.5828,1707160642920.319
500,1000,1707160652531,1707160652544.7737,1707160653914.5535
1,2,1707160662652,1707160662654.0688,1707160662659.9421
2,4,1707160672774,1707160672776.007,1707160672785.4004
5,10,1707160682882,1707160682883.6323,1707160682897.2173
10,20,1707160692992,1707160692994.0461,1707160693018.4968
50,100,1707160703102,1707160703104.7583,1707160703208.1833
100,200,1707160713214,1707160713218.7615,1707160713443.312
200,400,1707160723327,1707160723333.8103,1707160723775.5735
500,1000,1707160733446,1707160733459.1729,1707160735129.9822
1,2,1707160743562,1707160743564.1406,1707160743572.0645
2,4,1707160753674,1707160753677.2612,1707160753688.8376
5,10,1707160763786,1707160763787.6367,1707160763800.1482
10,20,1707160773872,1707160773874.992,1707160773907.5413
50,100,1707160783982,1707160783984.9414,1707160784092.624
100,200,1707160794094,1707160794098.1946,1707160794365.7825
200,400,1707160804195,1707160804202.3953,1707160804824.6104
500,1000,1707160814310,1707160814324.7654,1707160816157.5889
1,2,1707160824441,1707160824444.9053,1707160824474.1099
2,4,1707160834563,1707160834566.2656,1707160834575.7412
5,10,1707160844676,1707160844677.7751,1707160844694.9805
10,20,1707160854767,1707160854769.945,1707160854799.694
50,100,1707160864872,1707160864876.9314,1707160865032.8518
100,200,1707160874992,1707160874998.6326,1707160875656.421
200,400,1707160885111,1707160885117.9556,1707160885732.304
500,1000,1707160895243,1707160895258.9558,1707160896583.479
1,2,1707160905321,1707160905324.2864,1707160905332.949
2,4,1707160915396,1707160915401.2087,1707160915409.458
5,10,1707160925500,1707160925502.857,1707160925518.2458
10,20,1707160935598,1707160935600.2383,1707160935639.5442
50,100,1707160945711,1707160945714.5496,1707160945823.4807
100,200,1707160955811,1707160955815.5305,1707160956065.3044
200,400,1707160965898,1707160965908.3694,1707160967025.1436
500,1000,1707160976025,1707160976039.8938,1707160977741.7705
1,2,1707160986149,1707160986150.8445,1707160986158.1868
2,4,1707160996261,1707160996263.3892,1707160996271.342
5,10,1707161006375,1707161006376.8342,1707161006390.8774
10,20,1707161016461,1707161016464.444,1707161016491.735
50,100,1707161026568,1707161026571.0938,1707161026672.1772
100,200,1707161036673,1707161036678.4695,1707161036926.1772
200,400,1707161046791,1707161046797.6738,1707161047382.965
500,1000,1707161056894,1707161056907.8809,1707161058259.421
1,2,1707161067018,1707161067020.4312,1707161067026.5725
2,4,1707161077142,1707161077144.0938,1707161077156.566
