Subjects,Triples,mps,Kafka_in,Kafka_out,End_time
3,6,120,1755177259324,1755177259326.019,1755177259326.6309
3,6,120,1755177259334,1755177259335.7,1755177259336.106
3,6,120,1755177259346,1755177259348.755,1755177259349.4822
3,6,120,1755177259360,1755177259362.2761,1755177259362.924
3,6,120,1755177259371,1755177259372.94,1755177259373.6582
3,6,120,1755177259381,1755177259384.0269,1755177259384.7239
3,6,120,1755177259396,1755177259398.6711,1755177259399.5771
3,6,120,1755177259410,1755177259412.127,1755177259412.947
3,6,120,1755177259421,1755177259424.255,1755177259425.4028
3,6,120,1755177259435,1755177259437.55,1755177259438.3472
3,6,120,1755177259447,1755177259449.171,1755177259449.91
3,6,120,1755177259457,1755177259459.6802,1755177259460.46
3,6,120,1755177259469,1755177259471.107,1755177259471.828
3,6,120,1755177259482,1755177259484.533,1755177259485.186
3,6,120,1755177259493,1755177259495.292,1755177259495.953
3,6,120,1755177259505,1755177259507.04,1755177259507.6868
3,6,120,1755177259518,1755177259519.896,1755177259520.6023
3,6,120,1755177259528,1755177259530.403,1755177259531.036
3,6,120,1755177259542,1755177259544.0261,1755177259544.842
3,6,120,1755177259552,1755177259555.105,1755177259555.778
3,6,120,1755177259563,1755177259565.648,1755177259566.4202
3,6,120,1755177259578,1755177259579.856,1755177259580.632
3,6,120,1755177259591,1755177259593.3298,1755177259594.261
3,6,120,1755177259604,1755177259605.488,1755177259606.032
3,6,120,1755177259616,1755177259618.508,1755177259619.298
3,6,120,1755177259627,1755177259628.783,1755177259629.3289
3,6,120,1755177259640,1755177259642.015,1755177259642.679
3,6,120,1755177259652,1755177259653.7212,1755177259654.291
3,6,120,1755177259666,1755177259668.426,1755177259669.03
3,6,120,1755177259678,1755177259679.605,1755177259680.1401
3,6,120,1755177259688,1755177259689.394,1755177259689.9688
3,6,120,1755177259699,1755177259701.4412,1755177259702.21
3,6,120,1755177259712,1755177259714.283,1755177259715.009
3,6,120,1755177259723,1755177259724.374,1755177259724.947
3,6,120,1755177259734,1755177259735.769,1755177259736.4258
3,6,120,1755177259746,1755177259748.002,1755177259748.8088
3,6,120,1755177259757,1755177259758.4077,1755177259759.003
3,6,120,1755177259768,1755177259770.4019,1755177259771.002
3,6,120,1755177259779,1755177259780.735,1755177259781.343
3,6,120,1755177259789,1755177259792.143,1755177259792.81
3,6,120,1755177259803,1755177259804.916,1755177259805.498
3,6,120,1755177259815,1755177259817.1133,1755177259817.7349
3,6,120,1755177259825,1755177259827.533,1755177259828.0928
3,6,120,1755177259836,1755177259838.261,1755177259838.918
3,6,120,1755177259847,1755177259849.517,1755177259850.377
3,6,120,1755177259858,1755177259860.367,1755177259861.047
3,6,120,1755177259869,1755177259871.0972,1755177259871.671
3,6,120,1755177259880,1755177259881.587,1755177259882.325
3,6,120,1755177259890,1755177259891.8928,1755177259892.495
3,6,120,1755177259900,1755177259902.581,1755177259903.2112
3,6,120,1755177259910,1755177259912.441,1755177259913.045
3,6,120,1755177259925,1755177259927.238,1755177259927.875
3,6,120,1755177259937,1755177259939.1072,1755177259939.8179
3,6,120,1755177259948,1755177259951.1052,1755177259951.71
3,6,120,1755177259960,1755177259961.519,1755177259962.1199
3,6,120,1755177259970,1755177259972.193,1755177259972.807
3,6,120,1755177259982,1755177259985.0881,1755177259985.795
3,6,120,1755177259997,1755177259999.36,1755177260000.171
3,6,120,1755177260011,1755177260013.3801,1755177260014.16
3,6,120,1755177260022,1755177260024.495,1755177260025.18
3,6,120,1755177260035,1755177260036.578,1755177260037.225
3,6,120,1755177260046,1755177260048.096,1755177260048.8372
3,6,120,1755177260058,1755177260059.8508,1755177260060.543
3,6,120,1755177260069,1755177260071.254,1755177260071.872
3,6,120,1755177260080,1755177260082.6152,1755177260083.408
3,6,120,1755177260094,1755177260095.809,1755177260096.4421
3,6,120,1755177260104,1755177260106.4949,1755177260107.1191
3,6,120,1755177260115,1755177260117.281,1755177260117.9011
3,6,120,1755177260128,1755177260130.62,1755177260131.209
3,6,120,1755177260139,1755177260140.832,1755177260141.464
3,6,120,1755177260149,1755177260151.733,1755177260152.359
