Subjects,Triples,mps,Kafka_in,Kafka_out,End_time
3,6,100,1755172705115,1755172705117.146,1755172705117.903
3,6,100,1755172705129,1755172705132.035,1755172705133.0813
3,6,100,1755172705142,1755172705145.4739,1755172705146.341
3,6,100,1755172705155,1755172705157.909,1755172705158.577
3,6,100,1755172705170,1755172705172.909,1755172705174.211
3,6,100,1755172705185,1755172705195.776,1755172705196.413
3,6,100,1755172705203,1755172705209.4941,1755172705210.045
3,6,100,1755172705217,1755172705225.74,1755172705226.437
3,6,100,1755172705233,1755172705240.223,1755172705240.584
3,6,100,1755172705246,1755172705252.398,1755172705253.4102
3,6,100,1755172705261,1755172705265.614,1755172705265.9453
3,6,100,1755172705273,1755172705278.271,1755172705278.5972
3,6,100,1755172705287,1755172705290.6448,1755172705290.955
3,6,100,1755172705300,1755172705301.922,1755172705302.318
3,6,100,1755172705315,1755172705317.2942,1755172705318.435
3,6,100,1755172705330,1755172705332.073,1755172705332.993
3,6,100,1755172705344,1755172705345.857,1755172705346.2551
3,6,100,1755172705358,1755172705360.657,1755172705361.295
3,6,100,1755172705370,1755172705372.3809,1755172705372.8562
3,6,100,1755172705382,1755172705383.98,1755172705384.369
3,6,100,1755172705395,1755172705396.597,1755172705397.0208
3,6,100,1755172705409,1755172705412.561,1755172705413.0571
3,6,100,1755172705424,1755172705426.1912,1755172705426.6938
3,6,100,1755172705438,1755172705440.465,1755172705440.9321
3,6,100,1755172705452,1755172705454.56,1755172705455.0452
3,6,100,1755172705466,1755172705468.042,1755172705468.6091
3,6,100,1755172705480,1755172705482.1802,1755172705482.719
3,6,100,1755172705493,1755172705495.172,1755172705495.8037
3,6,100,1755172705511,1755172705535.714,1755172705536.191
3,6,100,1755172705547,1755172705550.1199,1755172705550.517
3,6,100,1755172705562,1755172705563.8662,1755172705564.316
3,6,100,1755172705576,1755172705578.1792,1755172705578.6711
3,6,100,1755172705589,1755172705590.9473,1755172705591.423
3,6,100,1755172705603,1755172705605.1042,1755172705605.623
3,6,100,1755172705617,1755172705619.222,1755172705619.6921
3,6,100,1755172705631,1755172705633.363,1755172705633.835
3,6,100,1755172705644,1755172705646.241,1755172705646.6829
3,6,100,1755172705659,1755172705661.098,1755172705661.622
3,6,100,1755172705673,1755172705674.866,1755172705675.298
3,6,100,1755172705687,1755172705688.975,1755172705689.404
3,6,100,1755172705701,1755172705702.757,1755172705703.229
3,6,100,1755172705713,1755172705715.039,1755172705715.508
3,6,100,1755172705726,1755172705728.111,1755172705728.5818
3,6,100,1755172705740,1755172705741.494,1755172705741.952
3,6,100,1755172705753,1755172705755.0159,1755172705755.451
3,6,100,1755172705766,1755172705768.1611,1755172705768.565
3,6,100,1755172705778,1755172705779.968,1755172705780.478
3,6,100,1755172705792,1755172705794.308,1755172705794.731
3,6,100,1755172705806,1755172705807.465,1755172705807.8232
3,6,100,1755172705819,1755172705820.6,1755172705820.9841
3,6,100,1755172705831,1755172705832.579,1755172705832.9822
3,6,100,1755172705842,1755172705844.3918,1755172705844.813
3,6,100,1755172705856,1755172705857.644,1755172705858.034
3,6,100,1755172705870,1755172705872.417,1755172705872.8472
3,6,100,1755172705883,1755172705884.8528,1755172705885.222
3,6,100,1755172705897,1755172705899.938,1755172705900.667
3,6,100,1755172705911,1755172705913.2512,1755172705914.0962
3,6,100,1755172705925,1755172705928.0378,1755172705929.123
3,6,100,1755172705939,1755172705941.433,1755172705942.189
